epoch,accuracy,loss,val_accuracy,val_loss
0,0.7358630895614624,0.5962914824485779,0.8062499761581421,0.4311552047729492
1,0.7909226417541504,0.42812955379486084,0.8187500238418579,0.46456027030944824
2,0.8169642686843872,0.37873417139053345,0.8531249761581421,0.357588529586792
3,0.8504464030265808,0.3356875479221344,0.878125011920929,0.322939932346344
4,0.8258928656578064,0.3872707784175873,0.8968750238418579,0.2845166325569153
5,0.8563988208770752,0.3243662416934967,0.8187500238418579,0.3379403054714203
6,0.882440447807312,0.2723582684993744,0.8843749761581421,0.23013918101787567
7,0.8690476417541504,0.30758389830589294,0.875,0.2856653928756714
8,0.863095223903656,0.30370670557022095,0.8812500238418579,0.2652353346347809
9,0.8735119104385376,0.27952367067337036,0.8968750238418579,0.21321098506450653
10,0.9114583134651184,0.21976621448993683,0.918749988079071,0.18858161568641663
11,0.9092261791229248,0.21306851506233215,0.909375011920929,0.19680960476398468
12,0.8958333134651184,0.24629735946655273,0.909375011920929,0.20558686554431915
13,0.9226190447807312,0.1961531639099121,0.9375,0.1318436563014984
14,0.9226190447807312,0.20003318786621094,0.8843749761581421,0.23154398798942566
